name,position,is_gk,ca,attribute,actual,estimated,delta
Şener Özcan,GK,1,80,Pace,6,6,0
Şener Özcan,GK,1,80,Strength,7,6,0
Şener Özcan,GK,1,80,Stamina,8,7,0
Şener Özcan,GK,1,80,Technique,9,9,0
Şener Özcan,GK,1,80,Aggression,6,6,0
Şener Özcan,GK,1,80,Leadership,10,10,0
Şener Özcan,GK,1,80,Agility,10,10,0
Şener Özcan,GK,1,80,Teamwork,10,10,0
Şener Özcan,GK,1,80,Crossing,1,1,0
Şener Özcan,GK,1,80,Dribbling,1,1,0
Şener Özcan,GK,1,80,Tackling,1,1,0
Şener Özcan,GK,1,80,Shooting,1,1,0
Şener Özcan,GK,1,80,Aerial,8,11,3
Şener Özcan,GK,1,80,Passing,10,10,0
Şener Özcan,GK,1,80,Decisions,7,8,1
Şener Özcan,GK,1,80,Creativity,3,4,1
Şener Özcan,GK,1,80,Movement,1,1,0
Şener Özcan,GK,1,80,Positioning,8,8,0
Şener Özcan,GK,1,80,Handling,11,11,0
Şener Özcan,GK,1,80,Kicking,11,12,1
Şener Özcan,GK,1,80,Reflexes,12,12,0
Şener Özcan,GK,1,80,Communication,12,7,-5
Şener Özcan,GK,1,80,Throwing,11,10,-1
Murat Behram,ST,0,90,Pace,11,10,0
Murat Behram,ST,0,90,Strength,12,11,0
Murat Behram,ST,0,90,Stamina,11,11,0
Murat Behram,ST,0,90,Technique,10,10,0
Murat Behram,ST,0,90,Aggression,10,10,0
Murat Behram,ST,0,90,Leadership,10,10,0
Murat Behram,ST,0,90,Agility,10,10,0
Murat Behram,ST,0,90,Teamwork,11,11,0
Murat Behram,ST,0,90,Crossing,6,6,0
Murat Behram,ST,0,90,Dribbling,9,9,0
Murat Behram,ST,0,90,Tackling,6,6,0
Murat Behram,ST,0,90,Shooting,14,14,0
Murat Behram,ST,0,90,Aerial,12,11,-1
Murat Behram,ST,0,90,Passing,7,7,0
Murat Behram,ST,0,90,Decisions,11,11,0
Murat Behram,ST,0,90,Creativity,7,7,0
Murat Behram,ST,0,90,Movement,11,12,1
Murat Behram,ST,0,90,Positioning,7,7,0
Metin Yüksel,DMC,0,85,Pace,8,8,0
Metin Yüksel,DMC,0,85,Strength,9,9,0
Metin Yüksel,DMC,0,85,Stamina,8,8,0
Metin Yüksel,DMC,0,85,Technique,15,15,0
Metin Yüksel,DMC,0,85,Aggression,10,10,0
Metin Yüksel,DMC,0,85,Leadership,13,13,0
Metin Yüksel,DMC,0,85,Agility,12,12,0
Metin Yüksel,DMC,0,85,Teamwork,11,11,0
Metin Yüksel,DMC,0,85,Crossing,7,7,0
Metin Yüksel,DMC,0,85,Dribbling,9,9,0
Metin Yüksel,DMC,0,85,Tackling,7,7,0
Metin Yüksel,DMC,0,85,Shooting,8,8,0
Metin Yüksel,DMC,0,85,Aerial,10,10,0
Metin Yüksel,DMC,0,85,Passing,11,12,1
Metin Yüksel,DMC,0,85,Decisions,13,13,0
Metin Yüksel,DMC,0,85,Creativity,10,10,0
Metin Yüksel,DMC,0,85,Movement,8,8,0
Metin Yüksel,DMC,0,85,Positioning,10,9,-1
Onur Özcan,DC,0,95,Pace,9,9,0
Onur Özcan,DC,0,95,Strength,13,13,0
Onur Özcan,DC,0,95,Stamina,10,10,0
Onur Özcan,DC,0,95,Technique,5,5,0
Onur Özcan,DC,0,95,Aggression,14,14,0
Onur Özcan,DC,0,95,Leadership,9,9,0
Onur Özcan,DC,0,95,Agility,10,10,0
Onur Özcan,DC,0,95,Teamwork,9,9,0
Onur Özcan,DC,0,95,Crossing,5,5,0
Onur Özcan,DC,0,95,Dribbling,5,5,0
Onur Özcan,DC,0,95,Tackling,15,14,-1
Onur Özcan,DC,0,95,Shooting,4,5,1
Onur Özcan,DC,0,95,Aerial,15,15,0
Onur Özcan,DC,0,95,Passing,5,5,0
Onur Özcan,DC,0,95,Decisions,13,13,0
Onur Özcan,DC,0,95,Creativity,5,5,0
Onur Özcan,DC,0,95,Movement,8,8,0
Onur Özcan,DC,0,95,Positioning,16,15,-1
Ahmet Aktaş,DL,0,90,Pace,12,12,0
Ahmet Aktaş,DL,0,90,Strength,10,10,0
Ahmet Aktaş,DL,0,90,Stamina,11,11,0
Ahmet Aktaş,DL,0,90,Technique,11,11,0
Ahmet Aktaş,DL,0,90,Aggression,12,12,0
Ahmet Aktaş,DL,0,90,Leadership,6,6,0
Ahmet Aktaş,DL,0,90,Agility,12,12,0
Ahmet Aktaş,DL,0,90,Teamwork,11,11,0
Ahmet Aktaş,DL,0,90,Crossing,9,9,0
Ahmet Aktaş,DL,0,90,Dribbling,9,10,1
Ahmet Aktaş,DL,0,90,Tackling,12,11,-1
Ahmet Aktaş,DL,0,90,Shooting,6,6,0
Ahmet Aktaş,DL,0,90,Aerial,8,8,0
Ahmet Aktaş,DL,0,90,Passing,9,9,0
Ahmet Aktaş,DL,0,90,Decisions,11,11,0
Ahmet Aktaş,DL,0,90,Creativity,6,6,0
Ahmet Aktaş,DL,0,90,Movement,7,7,0
Ahmet Aktaş,DL,0,90,Positioning,10,10,0
Fuat Gölbaşı,ST,0,90,Pace,10,10,0
Fuat Gölbaşı,ST,0,90,Strength,12,12,0
Fuat Gölbaşı,ST,0,90,Stamina,12,12,0
Fuat Gölbaşı,ST,0,90,Technique,10,10,0
Fuat Gölbaşı,ST,0,90,Aggression,12,12,0
Fuat Gölbaşı,ST,0,90,Leadership,11,11,0
Fuat Gölbaşı,ST,0,90,Agility,10,10,0
Fuat Gölbaşı,ST,0,90,Teamwork,11,11,0
Fuat Gölbaşı,ST,0,90,Crossing,5,5,0
Fuat Gölbaşı,ST,0,90,Dribbling,8,8,0
Fuat Gölbaşı,ST,0,90,Tackling,6,6,0
Fuat Gölbaşı,ST,0,90,Shooting,14,13,-1
Fuat Gölbaşı,ST,0,90,Aerial,12,11,-1
Fuat Gölbaşı,ST,0,90,Passing,8,8,0
Fuat Gölbaşı,ST,0,90,Decisions,11,11,0
Fuat Gölbaşı,ST,0,90,Creativity,7,7,0
Fuat Gölbaşı,ST,0,90,Movement,11,12,1
Fuat Gölbaşı,ST,0,90,Positioning,7,7,0
Murat Demir,GK,1,85,Pace,8,8,0
Murat Demir,GK,1,85,Strength,5,6,0
Murat Demir,GK,1,85,Stamina,7,7,0
Murat Demir,GK,1,85,Technique,2,2,0
Murat Demir,GK,1,85,Aggression,5,5,0
Murat Demir,GK,1,85,Leadership,9,12,0
Murat Demir,GK,1,85,Agility,9,10,0
Murat Demir,GK,1,85,Teamwork,7,7,0
Murat Demir,GK,1,85,Crossing,1,2,1
Murat Demir,GK,1,85,Dribbling,1,1,0
Murat Demir,GK,1,85,Tackling,1,1,0
Murat Demir,GK,1,85,Shooting,2,1,-1
Murat Demir,GK,1,85,Aerial,13,11,-2
Murat Demir,GK,1,85,Passing,5,5,0
Murat Demir,GK,1,85,Decisions,14,13,-1
Murat Demir,GK,1,85,Creativity,4,6,2
Murat Demir,GK,1,85,Movement,1,1,0
Murat Demir,GK,1,85,Positioning,8,8,0
Murat Demir,GK,1,85,Handling,14,14,0
Murat Demir,GK,1,85,Kicking,12,11,-1
Murat Demir,GK,1,85,Reflexes,14,13,-1
Murat Demir,GK,1,85,Communication,10,6,-4
Murat Demir,GK,1,85,Throwing,4,4,0
Abdullah Balıkuv,DL,0,85,Pace,11,11,0
Abdullah Balıkuv,DL,0,85,Strength,10,10,0
Abdullah Balıkuv,DL,0,85,Stamina,12,12,0
Abdullah Balıkuv,DL,0,85,Technique,11,11,0
Abdullah Balıkuv,DL,0,85,Aggression,13,13,0
Abdullah Balıkuv,DL,0,85,Leadership,6,6,0
Abdullah Balıkuv,DL,0,85,Agility,11,11,0
Abdullah Balıkuv,DL,0,85,Teamwork,13,13,0
Abdullah Balıkuv,DL,0,85,Crossing,9,10,1
Abdullah Balıkuv,DL,0,85,Dribbling,7,7,0
Abdullah Balıkuv,DL,0,85,Tackling,10,10,0
Abdullah Balıkuv,DL,0,85,Shooting,7,7,0
Abdullah Balıkuv,DL,0,85,Aerial,9,9,0
Abdullah Balıkuv,DL,0,85,Passing,9,9,0
Abdullah Balıkuv,DL,0,85,Decisions,10,10,0
Abdullah Balıkuv,DL,0,85,Creativity,6,5,-1
Abdullah Balıkuv,DL,0,85,Movement,6,7,1
Abdullah Balıkuv,DL,0,85,Positioning,12,12,0
Gökhan Köseoğlu,DC,0,95,Pace,10,10,0
Gökhan Köseoğlu,DC,0,95,Strength,11,11,0
Gökhan Köseoğlu,DC,0,95,Stamina,10,10,0
Gökhan Köseoğlu,DC,0,95,Technique,11,11,0
Gökhan Köseoğlu,DC,0,95,Aggression,10,10,0
Gökhan Köseoğlu,DC,0,95,Leadership,12,12,0
Gökhan Köseoğlu,DC,0,95,Agility,11,11,0
Gökhan Köseoğlu,DC,0,95,Teamwork,11,11,0
Gökhan Köseoğlu,DC,0,95,Crossing,6,6,0
Gökhan Köseoğlu,DC,0,95,Dribbling,9,11,2
Gökhan Köseoğlu,DC,0,95,Tackling,9,10,1
Gökhan Köseoğlu,DC,0,95,Shooting,5,6,1
Gökhan Köseoğlu,DC,0,95,Aerial,12,11,-1
Gökhan Köseoğlu,DC,0,95,Passing,10,10,0
Gökhan Köseoğlu,DC,0,95,Decisions,12,13,1
Gökhan Köseoğlu,DC,0,95,Creativity,9,9,0
Gökhan Köseoğlu,DC,0,95,Movement,6,6,0
Gökhan Köseoğlu,DC,0,95,Positioning,11,8,-3
Osman Işıklı,MC,0,85,Pace,11,11,0
Osman Işıklı,MC,0,85,Strength,9,9,0
Osman Işıklı,MC,0,85,Stamina,11,11,0
Osman Işıklı,MC,0,85,Technique,11,11,0
Osman Işıklı,MC,0,85,Aggression,7,7,0
Osman Işıklı,MC,0,85,Leadership,7,7,0
Osman Işıklı,MC,0,85,Agility,12,12,0
Osman Işıklı,MC,0,85,Teamwork,11,11,0
Osman Işıklı,MC,0,85,Crossing,9,9,0
Osman Işıklı,MC,0,85,Dribbling,11,9,-2
Osman Işıklı,MC,0,85,Tackling,9,9,0
Osman Işıklı,MC,0,85,Shooting,7,7,0
Osman Işıklı,MC,0,85,Aerial,8,8,0
Osman Işıklı,MC,0,85,Passing,11,10,-1
Osman Işıklı,MC,0,85,Decisions,11,10,-1
Osman Işıklı,MC,0,85,Creativity,9,9,0
Osman Işıklı,MC,0,85,Movement,13,12,-1
Osman Işıklı,MC,0,85,Positioning,8,9,1
Berke Bıyık,AML,0,90,Pace,13,13,0
Berke Bıyık,AML,0,90,Strength,8,8,0
Berke Bıyık,AML,0,90,Stamina,11,11,0
Berke Bıyık,AML,0,90,Technique,12,12,0
Berke Bıyık,AML,0,90,Aggression,10,10,0
Berke Bıyık,AML,0,90,Leadership,7,7,0
Berke Bıyık,AML,0,90,Agility,13,13,0
Berke Bıyık,AML,0,90,Teamwork,8,8,0
Berke Bıyık,AML,0,90,Crossing,12,11,-1
Berke Bıyık,AML,0,90,Dribbling,15,15,0
Berke Bıyık,AML,0,90,Tackling,5,5,0
Berke Bıyık,AML,0,90,Shooting,10,10,0
Berke Bıyık,AML,0,90,Aerial,4,4,0
Berke Bıyık,AML,0,90,Passing,8,8,0
Berke Bıyık,AML,0,90,Decisions,12,11,-1
Berke Bıyık,AML,0,90,Creativity,11,11,0
