name,tid,position,age,is_gk,snap_CA,snap_PA,rec_CA,rec_PA,foot_L,foot_R,attr:Aerial,attr:Agility,attr:Communication,attr:Handling,attr:Kicking,attr:Throwing,attr:Reflexes,attr:Crossing,attr:Dribbling,attr:Passing,attr:Shooting,attr:Tackling,attr:Technique,attr:Aggression,attr:Creativity,attr:Decisions,attr:Leadership,attr:Movement,attr:Positioning,attr:Teamwork,attr:Pace,attr:Stamina,attr:Strength,-55|?,-54|?,-53|?,-52|?,-51|?,-50|?Adaptability,-49|?Ambition,-48|?Determination,-47|?Loyalty,-46|?PressureHandling,-45|?Professionalism,-44|?Sportsmanship,-43|?Temperament,-42|SID,-41|SID,-40|SID,-39|SID,-38|?,-37|?,-36|?,-35|?,-34|?Crossing,-33|?Dribbling,-32|?Tackling,-31|?Shooting.Finishing,-30|?Shooting.LongShots,-29|?Aerial.Heading,-28|?Aerial.Jumping,-27|?Passing,-26|?Decisions,-25|=Teamwork.Unselfish,-24|Pace,-23|Strength,-22|Stamina,-21|Technique,-20|?Consistency,-19|Aggression,-18|?BigMatches,-17|?InjuryProneness,-16|Leadership,-15|?Versatility,-14|?SetPieces,-13|?Penalties,-12|?Creativity,-11|?Movement,-10|?Positioning,-9|=Teamwork.WorkRate,-8|?Flair,-7|?Handling,-6|?Kicking,-5|Agility,-4|?AerialGK,-3|?Reflexes,-2|?Communication,-1|?Throwing,0|pos:GK,1|pos:SW,2|pos:DL,3|pos:DC,4|pos:DR,5|pos:DMC,6|pos:ML,7|pos:MC,8|pos:MR,9|pos:AML,10|pos:AMC,11|pos:AMR,12|pos:ST,13|pos:DML,14|pos:DMR,15|footL,16|footR,17|CAlo,18|CAhi,19|PAlo,20|PAhi,21|replo,22|rephi
Şener Özcan,5089,GK,37,1,90,100,80,100,8,20,8,10,12,11,11,11,12,1,1,10,1,1,9,6,3,7,10,1,8,10,6,8,7,50,14,78,9,0,3,152,0,0,183,0,77,0,232,5,0,0,169,127,0,0,171,181,171,171,161,10,11,5,235,11,6,6,7,9,10,6,17,13,10,10,8,1,211,171,241,10,5,15,15,10,241,32,5,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,80,0,100,0,59,13
Murat Behram,20648,ST,32,0,90,100,90,100,9,20,12,10,1,1,1,1,1,6,9,7,14,6,10,10,7,11,10,11,7,11,11,11,12,114,17,199,10,0,0,168,2,0,191,0,83,0,3,59,0,0,21,246,2,0,221,251,221,40,0,12,11,231,253,12,10,11,11,10,14,10,11,8,10,9,5,12,231,17,231,10,8,171,161,10,181,181,181,161,1,1,1,1,1,1,1,1,1,13,1,1,20,1,1,9,20,90,0,100,0,224,14
Metin Yüksel,20796,DMC,32,0,85,105,85,105,8,20,10,12,1,1,1,2,2,7,9,11,8,7,15,10,10,13,13,8,10,11,8,8,9,97,16,60,8,0,16,168,14,0,176,0,74,0,85,59,0,0,155,251,2,0,234,249,232,232,254,8,10,21,23,13,8,9,8,15,11,10,1,5,13,6,12,14,10,244,245,9,7,184,164,12,164,194,164,184,1,1,1,8,1,20,1,17,1,1,10,1,1,1,1,8,20,85,0,105,0,115,15
Onur Özcan,20915,DC,30,0,95,95,95,95,8,20,15,10,1,1,1,1,1,5,5,5,4,15,5,14,5,13,9,8,16,9,9,10,13,159,16,144,9,0,22,136,43,0,174,0,70,0,133,59,0,0,157,254,2,0,206,207,30,209,162,13,15,212,9,9,9,13,10,5,13,14,13,5,9,6,1,2,206,240,40,10,4,181,161,10,181,171,161,161,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,8,20,95,0,95,0,36,17
Ahmet Aktaş,21113,DL,30,0,90,90,90,90,20,10,8,12,1,1,1,1,1,9,9,9,6,12,11,12,6,11,6,7,10,11,12,11,10,145,19,82,14,0,16,136,15,0,185,0,77,0,250,59,0,0,64,5,3,0,249,254,6,214,224,8,8,252,251,10,12,10,11,11,9,12,5,6,6,9,8,9,218,230,6,12,8,164,174,12,174,184,164,164,1,1,20,1,13,1,1,1,1,1,1,1,1,1,1,20,10,90,0,90,0,149,13
Fuat Gölbaşı,21125,ST,31,0,90,90,90,90,9,20,12,10,1,1,1,2,1,5,8,8,14,6,10,12,7,11,11,11,7,11,10,12,12,174,17,234,9,0,224,137,1,0,185,0,81,0,6,60,0,0,228,5,3,0,211,241,221,40,231,12,11,241,251,11,10,12,12,10,12,12,11,8,11,8,5,13,231,15,231,12,8,171,171,10,171,181,171,181,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,9,20,90,0,90,0,167,16
Murat Demir,21143,GK,27,1,85,95,85,95,20,5,13,9,10,14,12,4,14,1,1,5,2,1,2,5,4,14,9,1,8,7,8,7,5,121,11,112,6,0,8,200,52,0,184,0,85,0,24,60,0,0,210,6,3,0,184,174,174,164,184,2,12,214,37,8,8,6,7,2,17,5,14,9,12,11,6,2,224,164,244,7,3,37,7,10,17,37,244,204,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,5,85,0,95,0,157,15
Abdullah Balıkuv,21293,DL,28,0,85,105,85,105,20,6,9,11,1,2,1,1,1,9,7,9,7,10,11,13,6,10,6,6,12,13,11,12,10,168,18,185,10,0,16,136,3,0,183,0,75,0,126,60,0,0,4,12,3,0,2,236,4,214,6,9,9,254,246,14,11,10,12,11,11,13,13,6,6,10,12,10,219,227,15,12,9,194,174,11,164,174,164,174,1,1,20,1,1,1,5,1,1,1,1,1,1,13,1,20,6,85,0,105,0,6,17
Gökhan Köseoğlu,21319,DC,29,0,90,95,95,95,20,5,12,11,1,1,1,1,1,6,9,10,5,9,11,10,9,12,12,6,11,11,10,10,11,121,18,243,11,0,16,168,31,0,188,0,75,0,142,60,0,0,197,12,3,0,220,1,250,210,200,12,11,5,12,11,10,11,10,11,12,10,13,6,12,11,8,7,250,220,247,11,6,181,171,11,171,181,171,161,1,1,12,20,1,13,1,1,1,1,1,1,1,1,1,20,5,95,0,95,0,246,13
Osman Işıklı,21378,MC,26,0,85,100,85,100,20,9,8,12,1,1,1,1,1,9,11,11,7,9,11,7,9,11,7,13,8,11,11,11,9,31,19,231,10,0,16,136,70,0,174,0,68,0,197,60,0,0,149,15,3,0,251,251,255,221,238,8,8,1,250,11,11,9,11,11,9,7,9,6,7,11,8,5,251,17,248,12,11,164,174,12,164,184,164,174,1,1,1,1,1,1,14,20,14,14,16,14,1,1,1,20,9,85,0,100,0,129,13
