date,competition,venue,opponent,home,away,score,buca,result,anchor
2021-08-03,Friendly,H,Adana Demirspor A.Ş.,Bucaspor 1928,Adana Demirspor A.Ş.,1-1,1-1,D,0x0366EB6A
2021-08-07,Friendly,H,Bandırmaspor,Bucaspor 1928,Bandırmaspor,2-2,2-2,D,0x0366FF8B
2021-08-14,Friendly,H,Çorum Futbol Kulübü,Bucaspor 1928,Çorum Futbol Kulübü,1-1,1-1,D,0x036713BD
2021-08-21,Turkish 2. League White Group,A,Tarsus İdman Yurdu,Tarsus İdman Yurdu,Bucaspor 1928,1-1,1-1,D,0x036727EF
2021-08-25,Turkish 2. League White Group,H,Kırşehir Belediye Spor,Bucaspor 1928,Kırşehir Belediye Spor,0-1,0-1,L,0x03675020
2021-08-28,Turkish 2. League White Group,A,Pazarspor,Pazarspor,Bucaspor 1928,1-1,1-1,D,0x03677895
2021-09-04,Turkish 2. League White Group,H,Nazilli Belediyespor,Bucaspor 1928,Nazilli Belediyespor,2-0,2-0,W,0x0367A0C6
2021-09-11,Turkish 2. League White Group,H,Akhisarspor,Bucaspor 1928,Akhisarspor,3-0,3-0,W,0x0367C95D
2021-09-18,Turkish 2. League White Group,A,Pendikspor Futbol A.Ş.,Pendikspor Futbol A.Ş.,Bucaspor 1928,3-3,3-3,D,0x0367F1B0
2021-09-25,Turkish 2. League White Group,H,Amed Sportif Faaliyetler,Bucaspor 1928,Amed Sportif Faaliyetler,1-1,1-1,D,0x03681A36
2021-10-02,Turkish 2. League White Group,A,Isparta 32 Spor,Isparta 32 Spor,Bucaspor 1928,0-1,1-0,W,0x0368429A
2021-10-09,Turkish 2. League White Group,H,1922 Konyaspor,Bucaspor 1928,1922 Konyaspor,2-0,2-0,W,0x03686AED
2021-10-16,Turkish 2. League White Group,A,Şanlıurfaspor,Şanlıurfaspor,Bucaspor 1928,2-0,0-2,L,0x0368932F
2021-10-23,Turkish 2. League White Group,H,Zonguldak Kömürspor,Bucaspor 1928,Zonguldak Kömürspor,2-0,2-0,W,0x0368BB71
2021-10-28,Turkish Cup,H,Ağrı 1970 Spor,Bucaspor 1928,Ağrı 1970 Spor,5-0,5-0,W,0x0368E3C4
2021-10-31,Turkish Cup,A,Altay,Altay,Bucaspor 1928,3-1,1-3,L,0x03690C4A
2021-11-04,Turkish 2. League White Group,A,Eskişehirspor,Eskişehirspor,Bucaspor 1928,1-1,1-1,D,0x0369208C
2021-11-07,Turkish 2. League White Group,H,Kırklarelispor,Bucaspor 1928,Kırklarelispor,0-0,0-0,D,0x036948CF
2021-11-13,Turkish 2. League White Group,A,Uşak Spor A.Ş.,Uşak Spor A.Ş.,Bucaspor 1928,1-3,3-1,W,0x03695CBD
2021-11-20,Turkish 2. League White Group,H,Karacabey Belediye Spor A.Ş.,Bucaspor 1928,Karacabey Belediye Spor A.Ş.,2-0,2-0,W,0x036984FF
2021-11-27,Turkish 2. League White Group,A,24Erzincanspor,24Erzincanspor,Bucaspor 1928,1-2,2-1,W,0x0369AD1F
2021-12-04,Turkish 2. League White Group,H,Ankara Demirspor,Bucaspor 1928,Ankara Demirspor,1-2,1-2,L,0x0369D572
2021-12-11,Turkish 2. League White Group,H,Tarsus İdman Yurdu,Bucaspor 1928,Tarsus İdman Yurdu,0-2,0-2,L,0x0369FDB4
2021-12-18,Turkish 2. League White Group,A,Kırşehir Belediye Spor,Kırşehir Belediye Spor,Bucaspor 1928,0-2,2-0,W,0x036A2629
2022-01-08,Turkish 2. League White Group,H,Pazarspor,Bucaspor 1928,Pazarspor,1-0,1-0,W,0x036A4E7C
2022-01-15,Turkish 2. League White Group,A,Nazilli Belediyespor,Nazilli Belediyespor,Bucaspor 1928,0-4,4-0,W,0x036A76BE
2022-01-22,Turkish 2. League White Group,A,Akhisarspor,Akhisarspor,Bucaspor 1928,3-0,0-3,L,0x036A9F44
2022-02-05,Turkish 2. League White Group,H,Pendikspor Futbol A.Ş.,Bucaspor 1928,Pendikspor Futbol A.Ş.,0-1,0-1,L,0x036AC797
2022-02-12,Turkish 2. League White Group,A,Amed Sportif Faaliyetler,Amed Sportif Faaliyetler,Bucaspor 1928,1-1,1-1,D,0x036AF072
2022-02-19,Turkish 2. League White Group,H,Isparta 32 Spor,Bucaspor 1928,Isparta 32 Spor,2-2,2-2,D,0x036B18B4
2022-03-05,Turkish 2. League White Group,A,1922 Konyaspor,1922 Konyaspor,Bucaspor 1928,1-2,2-1,W,0x036B4107
2022-03-12,Turkish 2. League White Group,H,Şanlıurfaspor,Bucaspor 1928,Şanlıurfaspor,0-0,0-0,D,0x036B698D
2022-03-19,Turkish 2. League White Group,A,Zonguldak Kömürspor,Zonguldak Kömürspor,Bucaspor 1928,1-1,1-1,D,0x036B918B
2022-04-02,Turkish 2. League White Group,H,Eskişehirspor,Bucaspor 1928,Eskişehirspor,0-0,0-0,D,0x036BB9BC
2022-04-09,Turkish 2. League White Group,A,Kırklarelispor,Kırklarelispor,Bucaspor 1928,1-3,3-1,W,0x036BE1FE
2022-04-13,Turkish 2. League White Group,H,Uşak Spor A.Ş.,Bucaspor 1928,Uşak Spor A.Ş.,1-0,1-0,W,0x036C1E83
2022-04-26,Friendly,A,Kocaelispor,Kocaelispor,Bucaspor 1928,1-2,2-1,W,0x036C32A3
2022-04-30,Turkish 2. League White Group,A,Karacabey Belediye Spor A.Ş.,Karacabey Belediye Spor A.Ş.,Bucaspor 1928,3-3,3-3,D,0x036C46B4
2022-05-07,Turkish 2. League White Group,H,24Erzincanspor,Bucaspor 1928,24Erzincanspor,0-0,0-0,D,0x036C6F07
2022-05-14,Turkish 2. League White Group,A,Ankara Demirspor,Ankara Demirspor,Bucaspor 1928,0-0,0-0,D,0x036C9705
2022-05-21,Turkish 2. League Play-Off (First Leg),A,Uşak Spor A.Ş.,Uşak Spor A.Ş.,Bucaspor 1928,2-1,1-2,L,0x036CBF47
2022-05-25,Turkish 2. League Play-Off (Second Leg),H,Uşak Spor A.Ş.,Bucaspor 1928,Uşak Spor A.Ş.,1-0,1-0,W,0x036CD378
2022-05-28,Turkish 2. League Play-Off (First Leg),H,Eskişehirspor,Bucaspor 1928,Eskişehirspor,1-1,1-1,D,0x036CE777
2022-06-01,Turkish 2. League Play-Off (Second Leg),A,Eskişehirspor,Eskişehirspor,Bucaspor 1928,2-1,1-2,L,0x036CFB77
