offset,opponent,buca,score_HA,venue_in_record,cid,valid,b8,b9,year,day,plus16,term,copyidx,naive_date,actual_date,home,away,bytes_with_delim
0x02EF64C9,Pendikspor Futbol A.Ş.,3-3,3-3,BUCA_HOME,228,clean,0xc0,0x40,0x07e5,260,0,0xffff,2,2021-09-18,2021-09-18,Bucaspor 1928,Pendikspor Futbol A.Ş.,ff ff 02 a7 19 68 05 03 03 00 00 c0 40 e4 00 e5 07 04 01 00 00 ff ff 02
0x02EF64DE,Pendikspor Futbol A.Ş.,3-3,3-3,BUCA_HOME,117,clean,0xa0,0x40,0x07e5,300,0,0xffff,1,2021-10-28,2021-09-18,Bucaspor 1928,Pendikspor Futbol A.Ş.,ff ff 02 a7 19 68 05 03 03 00 00 a0 40 75 00 e5 07 2c 01 00 00 ff ff 01
0x02EF64F3,Ağrı 1970 Spor,5-0,5-0,BUCA_HOME,228,clean,0x80,0x40,0x07e5,14,1,0xffff,2,2021-01-15,2021-10-28,Bucaspor 1928,Ağrı 1970 Spor,ff ff 01 a7 19 d8 19 05 00 00 00 80 40 e4 00 e5 07 0e 00 01 00 ff ff 02
0x02EF6508,Nazilli Belediyespor,4-0,4-0,BUCA_HOME,228,clean,0x40,0xc0,0x07e5,21,1,0xffff,2,2021-01-22,2022-01-15,Bucaspor 1928,Nazilli Belediyespor,ff ff 02 a7 19 5f 05 04 00 00 00 40 c0 e4 00 e5 07 15 00 01 00 ff ff 02
0x02EF651D,Akhisarspor,0-3,0-3,BUCA_HOME,228,clean,0x40,0xc0,0x07e5,21,1,0xffff,2,2021-01-22,2022-01-22,Bucaspor 1928,Akhisarspor,ff ff 02 a7 19 89 06 00 03 00 00 40 c0 e4 00 e5 07 15 00 01 00 ff ff 02
0x02EF6532,Akhisarspor,0-3,0-3,BUCA_HOME,228,clean,0x40,0x40,0x07e4,330,0,0xffff,2,2020-11-26,2022-01-22,Bucaspor 1928,Akhisarspor,ff ff 02 a7 19 89 06 00 03 00 00 40 40 e4 00 e4 07 4a 01 00 00 ff ff 02
0x02EF6547,24Erzincanspor,2-1,2-1,BUCA_HOME,228,clean,0x30,0x41,0x07e4,133,1,0xffff,2,2020-05-13,2021-11-27,Bucaspor 1928,24Erzincanspor,ff ff 02 a7 19 89 19 02 01 00 00 30 41 e4 00 e4 07 85 00 01 00 ff ff 02
0x02EF655C,Ankara Demirspor,0-0,0-0,BUCA_HOME,228,clean,0x80,0x40,0x07e4,49,1,0xffff,1,2020-02-19,2022-05-14,Bucaspor 1928,Ankara Demirspor,ff ff 02 a7 19 79 06 00 00 00 00 80 40 e4 00 e4 07 31 00 01 00 ff ff 01
0x02EF6571,Isparta 32 Spor,2-2,2-2,BUCA_HOME,228,clean,0x00,0x40,0x07e4,344,0,0xffff,1,2020-12-10,2022-02-19,Bucaspor 1928,Isparta 32 Spor,ff ff 01 a7 19 68 19 02 02 00 00 00 40 e4 00 e4 07 58 01 00 00 ff ff 01
0x02EF66CD,Pendikspor Futbol A.Ş.,3-3,3-3,BUCA_HOME,228,clean,0xc0,0x40,0x07e4,260,0,0xffff,2,2020-09-17,2021-09-18,Bucaspor 1928,Pendikspor Futbol A.Ş.,ff ff 02 a7 19 68 05 03 03 00 00 c0 40 e4 00 e4 07 04 01 00 00 ff ff 02
0x02EF66E2,Pendikspor Futbol A.Ş.,3-3,3-3,BUCA_HOME,117,clean,0xa0,0x40,0x07e4,300,0,0xffff,1,2020-10-27,2021-09-18,Bucaspor 1928,Pendikspor Futbol A.Ş.,ff ff 02 a7 19 68 05 03 03 00 00 a0 40 75 00 e4 07 2c 01 00 00 ff ff 01
0x02EF66F7,Ağrı 1970 Spor,5-0,5-0,BUCA_HOME,228,clean,0x80,0x40,0x07e4,14,1,0xffff,2,2020-01-15,2021-10-28,Bucaspor 1928,Ağrı 1970 Spor,ff ff 01 a7 19 d8 19 05 00 00 00 80 40 e4 00 e4 07 0e 00 01 00 ff ff 02
0x02EF670C,Nazilli Belediyespor,4-0,4-0,BUCA_HOME,228,clean,0x40,0xc0,0x07e4,21,1,0xffff,2,2020-01-22,2022-01-15,Bucaspor 1928,Nazilli Belediyespor,ff ff 02 a7 19 5f 05 04 00 00 00 40 c0 e4 00 e4 07 15 00 01 00 ff ff 02
0x02EF6721,Akhisarspor,0-3,0-3,BUCA_HOME,228,clean,0x40,0xc0,0x07e4,21,1,0xffff,2,2020-01-22,2022-01-22,Bucaspor 1928,Akhisarspor,ff ff 02 a7 19 89 06 00 03 00 00 40 c0 e4 00 e4 07 15 00 01 00 ff ff 02
0x02EF6736,Akhisarspor,0-3,0-3,BUCA_HOME,228,clean,0x40,0x40,0x07e4,330,0,0xffff,2,2020-11-26,2022-01-22,Bucaspor 1928,Akhisarspor,ff ff 02 a7 19 89 06 00 03 00 00 40 40 e4 00 e4 07 4a 01 00 00 ff ff 02
0x02EF674B,24Erzincanspor,2-1,2-1,BUCA_HOME,228,clean,0x30,0x41,0x07e4,133,1,0xffff,2,2020-05-13,2021-11-27,Bucaspor 1928,24Erzincanspor,ff ff 02 a7 19 89 19 02 01 00 00 30 41 e4 00 e4 07 85 00 01 00 ff ff 02
0x02EF6760,Ankara Demirspor,0-0,0-0,BUCA_HOME,228,clean,0x80,0x40,0x07e4,49,1,0xffff,1,2020-02-19,2022-05-14,Bucaspor 1928,Ankara Demirspor,ff ff 02 a7 19 79 06 00 00 00 00 80 40 e4 00 e4 07 31 00 01 00 ff ff 01
0x02EF6775,Isparta 32 Spor,2-2,2-2,BUCA_HOME,228,clean,0x00,0x40,0x07e4,344,0,0xffff,1,2020-12-10,2022-02-19,Bucaspor 1928,Isparta 32 Spor,ff ff 01 a7 19 68 19 02 02 00 00 00 40 e4 00 e4 07 58 01 00 00 ff ff 01
0x02EFBE28,Ağrı 1970 Spor,5-0,0-5,BUCA_AWAY,65535,BOGUS,0x00,0x00,0x07e4,0,391,0xffff,4,2020-01-01,2021-10-28,Ağrı 1970 Spor,Bucaspor 1928,ff ff 02 d8 19 a7 19 00 05 00 00 00 00 ff ff e4 07 00 00 87 01 ff ff 04
0x02EFBE7C,Ağrı 1970 Spor,5-0,0-5,BUCA_AWAY,117,clean,0x80,0x3f,0x07e4,300,0,0xffff,2,2020-10-27,2021-10-28,Ağrı 1970 Spor,Bucaspor 1928,ff ff 02 d8 19 a7 19 00 05 00 00 80 3f 75 00 e4 07 2c 01 00 00 ff ff 02
