offset,opp,sc,b8,b9,cid,yr,day,true_date,true_doy,venue
0x02EF64C9,Pendikspor Futbol A.Ş.,3-3,0xc0,0x40,228,0x07e5,260,2021-09-18,260,A
0x02EF64DE,Pendikspor Futbol A.Ş.,3-3,0xa0,0x40,117,0x07e5,300,2021-09-18,260,A
0x02EF64F3,Ağrı 1970 Spor,5-0,0x80,0x40,228,0x07e5,14,2021-10-28,300,H
0x02EF6508,Nazilli Belediyespor,4-0,0x40,0xc0,228,0x07e5,21,2022-01-15,14,A
0x02EF651D,Akhisarspor,0-3,0x40,0xc0,228,0x07e5,21,2022-01-22,21,A
0x02EF6532,Akhisarspor,0-3,0x40,0x40,228,0x07e4,330,2022-01-22,21,A
0x02EF6547,24Erzincanspor,2-1,0x30,0x41,228,0x07e4,133,2021-11-27,330,A
0x02EF655C,Ankara Demirspor,0-0,0x80,0x40,228,0x07e4,49,2022-05-14,133,A
0x02EF6571,Isparta 32 Spor,2-2,0x00,0x40,228,0x07e4,344,2022-02-19,49,H
0x02EF66CD,Pendikspor Futbol A.Ş.,3-3,0xc0,0x40,228,0x07e4,260,2021-09-18,260,A
0x02EF66E2,Pendikspor Futbol A.Ş.,3-3,0xa0,0x40,117,0x07e4,300,2021-09-18,260,A
0x02EF66F7,Ağrı 1970 Spor,5-0,0x80,0x40,228,0x07e4,14,2021-10-28,300,H
0x02EF670C,Nazilli Belediyespor,4-0,0x40,0xc0,228,0x07e4,21,2022-01-15,14,A
0x02EF6721,Akhisarspor,0-3,0x40,0xc0,228,0x07e4,21,2022-01-22,21,A
0x02EF6736,Akhisarspor,0-3,0x40,0x40,228,0x07e4,330,2022-01-22,21,A
0x02EF674B,24Erzincanspor,2-1,0x30,0x41,228,0x07e4,133,2021-11-27,330,A
0x02EF6760,Ankara Demirspor,0-0,0x80,0x40,228,0x07e4,49,2022-05-14,133,A
0x02EF6775,Isparta 32 Spor,2-2,0x00,0x40,228,0x07e4,344,2022-02-19,49,H
0x02EFBE7C,Ağrı 1970 Spor,0-5,0x80,0x3f,117,0x07e4,300,2021-10-28,300,H
0x02EFC080,Ağrı 1970 Spor,0-5,0x80,0x3f,117,0x07e4,300,2021-10-28,300,H
0x02F18CD3,Nazilli Belediyespor,0-4,0x00,0x00,16640,0x07e5,323,2022-01-15,14,A
0x02F18D51,Ankara Demirspor,0-0,0x00,0x00,16448,0x07e5,7,2022-05-14,133,A
