tid,name,club,GK,CA,PA,rep,positions,Aerial,Crossing,Dribbling,Shooting,Passing,Tackling,Technique,Aggression,Creativity,Decisions,Leadership,Movement,Positioning,Teamwork,Pace,Stamina,Strength,Agility,Handling,Kicking,Reflexes,Communication,Throwing
23631,#23631,Altay,,130,135,5946,MC/DMC/DR/MR/DMR/DC,10,7,12,7,11,14,9,19,12,15,7,10,14,17,13,17,15,14,1,3,1,3,3
14960,#14960,Altay,,125,125,5241,ST/AML/AMR,12,8,14,18,10,6,13,12,11,13,5,16,5,14,15,16,15,15,1,2,1,1,2
14250,#14250,Altay,,120,126,4505,DMC/MC/DC/AMC/ML/MR,14,7,11,9,11,15,10,16,9,13,12,6,14,17,12,14,14,12,1,2,2,2,2
5641,#5641,Altay,,120,142,4892,ST/AML,13,9,11,17,10,6,12,10,10,12,13,11,11,13,12,14,14,11,1,2,1,2,2
6558,#6558,Altay,,119,125,5513,DL/DC/DMC/DML,14,11,10,9,11,13,9,11,6,13,10,9,12,12,13,11,13,11,1,3,1,2,3
27673,#27673,Altay,Y,115,124,4991,GK,15,2,2,1,10,3,9,5,11,11,12,4,11,10,11,8,10,12,15,10,14,8,10
20400,#20400,Pendikspor Futbol A.Ş.,,110,120,5222,ST/AMC/AML/AMR,8,10,13,16,11,3,14,12,12,13,12,12,4,12,12,10,9,12,1,3,1,1,2
20962,#20962,Altay,,110,120,4606,MC/DMC,10,11,8,8,11,12,9,14,11,13,10,8,12,15,9,13,13,12,1,1,1,1,4
21003,#21003,Pendikspor Futbol A.Ş.,,110,120,5403,AML/AMR/ML/MR/AMC,6,13,15,15,11,6,13,12,11,11,8,13,5,11,16,11,6,15,1,3,1,1,1
21305,#21305,Altay,,110,115,5442,DR/MR/AMR/DMR,7,12,11,7,11,10,13,8,9,13,9,9,8,11,13,13,8,15,1,2,1,2,3
22114,#22114,24Erzincanspor,,110,118,5463,ST/AMC,9,6,12,17,8,6,13,7,10,11,6,14,8,7,12,9,10,12,2,3,2,1,3
22669,#22669,Pendikspor Futbol A.Ş.,Y,110,111,5208,GK,12,4,3,5,10,5,8,5,9,10,5,2,7,8,9,8,9,10,11,9,15,7,7
24872,#24872,Pendikspor Futbol A.Ş.,,110,120,5434,AMR/AML/AMC/ML/MR/ST,7,11,14,14,11,6,15,10,13,12,7,12,6,9,12,10,11,12,1,1,1,1,3
28868,#28868,Eskişehirspor,,110,145,4030,DC,12,5,9,7,9,9,11,14,10,11,11,12,11,11,11,12,10,9,3,2,2,4,4
14043,#14043,Altay,,107,120,4759,AMR/AML/ML/MR/ST/AMC,10,13,15,12,10,6,14,11,12,10,4,12,7,9,15,12,8,15,1,2,1,1,1
8516,#8516,Altay,,107,125,5315,DMC/MC/DC,14,9,5,8,11,11,10,13,11,13,14,12,14,17,8,11,15,8,1,2,1,1,3
2023,#2023,Nazilli Belediyespor,Y,105,145,4968,GK,12,1,1,1,7,1,7,13,1,12,13,2,13,10,9,11,9,11,14,11,10,7,8
