attribute,exact/28,within1/28,R2,own,partner,CA,PA,own*CA,mean9,fwd,intercept
Crossing,18,27,0.965,0.09,,,,0.0256,,,-18.861
Dribbling,13,24,0.943,0.1154,,0.0756,-0.0198,,-0.1037,,-23.335
Tackling,21,28,0.979,0.1057,,0.0669,-0.0047,,,-0.7306,-22.325
Shooting,20,28,0.975,,0.025,-0.1211,-0.013,0.0972,-0.0901,-0.6856,-4.885
Aerial,18,26,0.928,0.1282,0.8466,,,,,,-249.205
Passing,16,25,0.894,0.1663,,0.2055,0.0009,-0.0713,,,-35.048
Decisions,20,28,0.935,0.0834,,0.0695,-0.0308,,0.3004,-0.1457,-16.398
Creativity,24,27,0.962,0.0807,,,,0.0245,,,-16.862
Movement,12,23,0.924,0.1141,,,,,,,-19.37
Positioning,14,24,0.904,0.1266,,,0.044,,,0.6419,-26.969
Handling,12,27,0.962,,,-0.2501,0.0346,0.1263,,,0.089
Kicking,20,28,0.978,0.1593,,0.1723,,-0.0613,,,-32.013
Reflexes,17,28,0.973,0.07,,,,0.028,-0.3111,,-12.392
Communication,17,22,0.517,0.06,,,0.0392,,,-0.4216,-12.808
Throwing,23,27,0.927,0.0873,,0.06,,,,,-18.83
