career,save_file,label,season,phase,active
bucaspor,bucaspor-2022-05-25.fms,bucaspor-2022-05-25,2022,2022-05-25,0
bucaspor,bucaspor-2022-06-01.fms,bucaspor-2022-06-01,2022,2022-06-01,0
bucaspor,bucaspor-2022-07-01.fms,bucaspor-2022-07-01,2023,2022-07-01,0
bucaspor,bucaspor-2023-03-25.fms,bucaspor-2023-03-25,2023,2023-03-25,0
bucaspor,bucaspor-2023-05-20.fms,bucaspor-2023-05-20,2023,2023-05-20,0
bucaspor,bucaspor-2023-07-01.fms,bucaspor-2023-07-01,2024,2023-07-01,0
bucaspor,bucaspor-2024-03-16.fms,bucaspor-2024-03-16,2024,2024-03-16,0
frem,frem-2021-07-01.fms,frem-2021-07-01,2022,2021-07-01,1
frem,frem-2022-03-19.fms,frem-2022-03-19,2022,2022-03-19,1
frem,frem-2022-06-26.fms,frem-2022-06-26,2022,2022-06-26,1
frem,frem-2022-06-29.fms,frem-2022-06-29,2022,2022-06-29,1
frem,frem-2022-07-01.fms,frem-2022-07-01,2023,2022-07-01,1
frem,frem-2022-08-27.fms,frem-2022-08-27,2023,2022-08-27,1
frem,frem-2022-09-25.fms,frem-2022-09-25,2023,2022-09-25,1
frem,frem-2023-01-06.fms,frem-2023-01-06,2023,2023-01-06,1
frem,frem-2023-06-26.fms,frem-2023-06-26,2023,2023-06-26,1
frem,frem-2023-06-30.fms,frem-2023-06-30,2023,2023-06-30,1
frem,frem-2023-07-01.fms,frem-2023-07-01,2024,2023-07-01,1
frem,frem-2023-07-02.fms,frem-2023-07-02,2024,2023-07-02,1
frem,frem-2024-01-05.fms,frem-2024-01-05,2024,2024-01-05,1
frem,frem-2024-06-02.fms,frem-2024-06-02,2024,2024-05-25,1
frem,frem-2024-06-28.fms,frem-2024-06-28,2024,2024-06-03,1
frem,frem-2024-06-30.fms,frem-2024-06-30,2025,2024-06-30,1
frem,frem-2024-11-10.fms,frem-2024-11-10,2025,2024-11-10,1
