method,role,attribute,category,weight
black_hawk,LB,pace,key,4
black_hawk,LB,movement,key,4
black_hawk,LB,crossing,key,4
black_hawk,LB,technique,important,3
black_hawk,LB,positioning,important,3
black_hawk,LB,tackling,important,3
black_hawk,LB,passing,useful,2
black_hawk,LB,stamina,useful,2
black_hawk,RB,pace,key,4
black_hawk,RB,movement,key,4
black_hawk,RB,crossing,key,4
black_hawk,RB,technique,important,3
black_hawk,RB,positioning,important,3
black_hawk,RB,tackling,important,3
black_hawk,RB,passing,useful,2
black_hawk,RB,stamina,useful,2
black_hawk,CB,pace,key,4
black_hawk,CB,aerial,key,4
black_hawk,CB,technique,important,3
black_hawk,CB,positioning,important,3
black_hawk,CB,dribbling,important,3
black_hawk,CB,passing,useful,2
black_hawk,CB,stamina,useful,2
black_hawk,DM,movement,key,4
black_hawk,DM,passing,key,4
black_hawk,DM,creativity,key,4
black_hawk,DM,decisions,key,4
black_hawk,DM,shooting,key,4
black_hawk,DM,stamina,useful,2
black_hawk,AMC,movement,key,4
black_hawk,AMC,passing,key,4
black_hawk,AMC,tackling,key,4
black_hawk,AMC,decisions,key,4
black_hawk,AMC,teamwork,key,4
black_hawk,AMC,dribbling,important,3
black_hawk,AMC,shooting,important,3
black_hawk,AMC,creativity,important,3
black_hawk,AMC,stamina,useful,2
black_hawk,CM,movement,key,4
black_hawk,CM,passing,key,4
black_hawk,CM,tackling,key,4
black_hawk,CM,decisions,key,4
black_hawk,CM,teamwork,key,4
black_hawk,CM,dribbling,important,3
black_hawk,CM,shooting,important,3
black_hawk,CM,creativity,important,3
black_hawk,CM,stamina,useful,2
black_hawk,AML,movement,key,4
black_hawk,AML,passing,key,4
black_hawk,AML,pace,key,4
black_hawk,AML,decisions,key,4
black_hawk,AML,creativity,key,4
black_hawk,AML,shooting,key,4
black_hawk,AML,crossing,important,3
black_hawk,AML,stamina,useful,2
black_hawk,AMR,movement,key,4
black_hawk,AMR,passing,key,4
black_hawk,AMR,pace,key,4
black_hawk,AMR,decisions,key,4
black_hawk,AMR,creativity,key,4
black_hawk,AMR,shooting,key,4
black_hawk,AMR,crossing,important,3
black_hawk,AMR,stamina,useful,2
black_hawk,ST,aggression,key,4
